Draft,Pick,First,Last,Full,Year,POS,School,Power 5,NPPG,NRPG,NAPG,NBPG,NSPG,N3PT,N3PA,WS,CPPG,CRPG,CAPG,CBPG,CSPG,C3PT
2008,3,OJ,Mayo,OJ Mayo,FR,SG,USC,P,18.5,3.8,4.4,0.4,1.2,0.407,349,5.6,20.7,4.5,3.3,0.4,1.5,0.409
2008,4,Russell,Westbrook,Russell Westbrook,SO,PG,UCLA,B,28.1,7.3,9.5,0.4,2.4,0.33,103,11.6,12.7,3.9,4.3,0.2,1.6,0.338
2008,5,Kevin,Love,Kevin Love,FR,PF,UCLA,B,26.1,15.2,4.4,0.6,0.9,0.417,211,14.3,17.5,10.6,1.9,1.4,0.7,0.354
2008,7,Eric,Gordon,Eric Gordon,FR,SG,Indiana,P,22.3,2.8,4.4,0.4,1.4,0.448,315,5.3,20.9,3.3,2.4,0.6,1.3,0.337
2008,8,Joe,Alexander,Joe Alexander,JR,SF,West Virginia,P,4.7,1.9,0.7,0.5,0.3,0.348,46,0.4,16.9,6.4,2.4,1.5,0.7,0.268
2008,9,DJ,Augustin,DJ Augustin,SO,PG,Texas,B,14.4,2.7,6.4,0.1,0.8,0.439,246,6.2,19.2,2.9,5.8,0,1.2,0.381
2008,10,Brook,Lopez,Brook Lopez,SO,C,Stanford,P,20.7,8.6,2.3,2.1,0.7,0.1,10,9,19.3,8.2,1.4,2.1,0.6,0
2008,11,Jerryd,Bayless,Jerryd Bayless,FR,PG,Arizona,P,11.6,2.8,3.8,0.2,1.1,0.438,112,4,19.7,2.7,4,0.1,1,0.407
2008,12,Jason,Thompson,Jason Thompson,SR,PF,Rider,M,12.5,8.5,1.7,1,0.7,0.1,10,4,20.4,12.1,2.7,2.7,1.1,0.324
2008,13,Brandon,Rush,Brandon Rush,JR,SG,Kansas,B,9.8,4.2,1.4,0.9,0.7,0.452,219,3.5,13.3,5.1,2.1,0.8,0.8,0.419
2008,14,Anthony,Randolph,Anthony Randolph,FR,PF,LSU,P,11.6,6.5,1.3,1.5,0.8,0.295,61,1.6,15.6,8.5,1.2,2.5,1.1,0.105
2008,15,Robin,Lopez,Robin Lopez,SO,C,Stanford,P,11.3,8.5,1.7,1.7,0.4,0,1,9.5,10.2,5.7,0.6,2.3,0.5,1
